,,,random,patterns,single characters,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/comands,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
2,390,melhor palestra,,,,,,x,,,,,,,,,,,,,,,,,x
2,391,Lanche vs Bandeco,,,,,,,,,,x,,,,,,,,,,,x,,
2,392,to amando a comida,,,,,,,,,,x,,,,,,,,,,,,,x
2,393,Ola,,,,,x,,,,,,,,,,,,,,,,,,
2,394,<><><><>><>,,x,,,,,,,,,,,,,,,,,,,,,
2,395,Quem é você na fila do pão?,,,,,,,,,,x,,,,,x,,,,,,,,
2,396,Entroooooooooouuuu,,,,,,x,,,,,,,,,,,,,,,,,x
2,397,SAI DO CORREDOR,,,,,,,,,,x,,,,,,,x,,,,,,
2,398,Qr tc?,,,,,x,,,,,,,,,,,,,,,,,,
2,399,no céu tem pão?,,,,,,,,,,x,,,,,x,,,,,,,,
2,400,Vsvsvsvsvsvsvsvs,,x,,,,,,,,,,,,,,,,,,,,,
2,401,eu engordei por causa de abrapem,,,,,,,,,,x,,,,,,,,x,,,,,
2,402,COMI PRA CARALHO,,,,,,,,,,x,,,,,,,,x,,,,,
2,403,MELHOR RECITAL CONFERENCIA,,,,,,x,,,,,,,,,,,,,,,,,x
2,404,E morreu,,,,,,,,,,x,,,,,,,,,,,x,,
2,405,melhor rexital,,,,,,x,,,,,,,,,,,,,,,,,x
2,406,Xxxxxxxxxx,,x,,,,,,,,,,,,,,,,,,,,,
2,407,kkkkk,,,,,,,,,x,,,,,,,,,,,,,,
2,408,SENHORA,,,,,,,,,,x,,,,,,,,,,,,,x
2,409,lllllll,,x,,,,,,,,,,,,,,,,,,,,,
2,410,gdgghjhdghytfggdd,x,,,,,,,,,,,,,,,,,,,,,,
2,411,MUUITO FODA,,,,,,x,,,,,,,,,,,,,,,,,x
2,412,SSSSSSSSSSSSS,,x,,,,,,,,,,,,,,,,,,,,,
2,413,me liga,,,,,,,,,,x,,,,,,,x,,,,,,
2,414,bbbb,,x,,,,,,,,,,,,,,,,,,,,,
2,415,Winter is coming,,,,,,,,,,x,,,,x,,,,,,,,,
2,416,TTTTTRRRRRRR,,x,,,,,,,,,,,,,,,,,,,,,
2,417,PÃO DE BATAAAaaaTAAA,,,,,,,,,,x,,,,,,,,,,,x,,
2,418,TSTSTSTSTSTSTSTSTSTSTZTZTZTZTZTZTZTZTZTZTZTZ,,x,,,,,,,,,,,,,,,,,,,,,
2,419,Bj me liga,,,,,,,,,,x,,,,,,,,,,,,,
3,420,ZZZZZZZZZZZZZZZ,,x,,,,,,,,,,,,,,,,,,,,,
3,421,------'-----'-----',,x,,,,,,,,,,,,,,,,,,,,,
3,422,TT.    TT.    RT.,,x,,,,,,,,,,,,,,,,,,,,,
3,423,$\#$\#$\#$\#$\#$\#$,,x,,,,,,,,,,,,,,,,,,,,,
3,424,aasdtre133%\#@$&;+-~`|•^^¥,x,,,,,,,,,,,,,,,,,,,,,,
3,425,$$$$$$$$$$$$$$$$$$$,,x,,,,,,,,,,,,,,,,,,,,,
3,426,Mmmmmmmmmmmmmmm,,x,,,,,,,,,,,,,,,,,,,,,
3,427,QUERONDINHEIRO,,,,,,,,,,x,,,,,,,x,,,,,,
3,428,aaaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
3,429,Aaaaaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
3,430,Me add no orkut,,,,,,,,,,x,,,,,,,x,,,,x,,
3,431,AAAAAAA,,x,,,,,,,,,,,,,,,,,,,,,
3,432,DROP DA BASS,,,,,,x,,,,,,,,,,,,,,,,x,
3,433,EEEE,,,,x,,,,,,,,,,,,,,,,,,,
3,434,SEGUE NO INSTRAGAM,,,,,,,,,,x,,,,,,,x,,,,x,,
3,435,Vvvvvvvvvv,,x,,,,,,,,,,,,,,,,,,,,,
3,436,VAI SOMBRA,,,,,,,,,,x,,,,,,,,,,,,,x
3,437,Passa o wats,,,,,,,,,,x,,,,,,,x,,,,x,,
3,438,Aquela empada de palmito <3,,,,,,,,,,x,,,,,,,,,,,x,,
3,439,HAHAHAHAHAHAHAHAHAHAHAHAHA,,,,,,,,,x,,,,,,,,,,,,,,
3,440,SUPER LIKE,,,,,,x,,,,,,,,,,,,,,,,,x
3,441,SILVIO SANTOS VEM AI OLE OLE OLE OLA,,,,,,,,,,x,,,,x,,,,,,,,,
3,442,lenita,,,,,,,x,,,,,,,,,,,x,,,,,
3,443,Palmito,,,,,,,,,,x,,,,,,,,,,,x,,
3,444,&$&$&$&$&$&$&$,,x,,,,,,,,,,,,,,,,,,,,,
3,445,sfgghhjjuffgytfd,x,,,,,,,,,,,,,,,,,,,,,,
3,446,FFFFFFFFFFDDDDDD,,x,,,,,,,,,,,,,,,,,,,,,
3,447,FALTA CHOCOLATE NA COBERTURA DO BOL,,,,,,,,,,x,,,,,,,,,x,,x,,
3,448,Huahuahu,,,,,,,,,x,,,,,,,,,,,,,,
3,449,TIMAO,,,,,,,,,,x,,,,x,,,,,,,,,
3,450,Tchau querida :*,,,,,,,,x,,,,,,,,,,,,,,,
3,451,£¢¢€€¥^^°°={,x,,,,,,,,,,,,,,,,,,,,,,
3,452,tss,,x,,,,,,,,,,,,,,,,,,,,,
3,453,HAHAHAHAHAHAHAHAAHAHHA,,,,,,,,,x,,,,,,,,,,,,,,
3,454,IA! IA! IA!,,,,x,,,,,,,,,,,,,,,,,,,
3,455,kajajajakaka,,,,,,,,,x,,,,,,,,,,,,,,
3,456,kakakakakaka,,,,,,,,,x,,,,,,,,,,,,,,
3,457,Zzzzzzzzzzzzzz,,x,,,,,,,,,,,,,,,,,,,,,
3,458,019293938384848586,x,,,,,,,,,,,,,,,,,,,,,,
3,459,onde compro o cd de vcs?,,,,,,x,,,,,,,,,x,,,,,,,,x
3,460,MEU CEL TA TRAVANDO,,,,,,x,,,,,,,,,,,,,x,,,,
3,461,Aeee,,,,,x,,,,,,,,,,,,,,,,,,
3,462,Vamo fica aqui o dia todoooo :D,,,,,,x,,,,,,,,,,,,,,,,,x
3,463,VIREI FA,,,,,,x,,,,,,,,,,,,,,,,,x
3,464,FORA TEMER FORA GOLPISTAS,,,,,,,,x,,,,,,,,,,,,,,,
3,465,Queria agradecer primeiramente a Deus. Depois ao Hashimoto. Valeu.bj,,,,,,,x,,,,,,,,,,,,,,x,,
3,466,Beijinho no ombro,,,,,,,,,,x,,,,x,,,,,,,,x,
3,467,ALÔ ALÔ GRAÇAS A DEUS,,,,,x,,,,,,,,,,,,,,,,,,
3,468,uuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
3,469,yumi,x,,,,,,,,,,,,,,,,,,,,,,
3,470,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
3,471,ME CHAMA QUE EU VOU,,,,,,,,,,x,,,,,,,,x,,,,,
3,472,tatatatatatatatat,,,,x,,,,,,,,,,,,,,,,,,,
3,473,Voce ronca? O Paulo Ronqui,,,,,,,x,,,,,,,,,,,,,,x,,
3,474,Bial chama que eu vo,,,,,,,x,,,,,,,,,,,,,,x,,
3,475,qwwwqwwwqwwwqwwwqwww,,x,,,,,,,,,,,,,,,,,,,,,
3,476,Quero contar minha historia de vida,,,,,,,,,,x,,,,,,,,x,,,,,
3,477,hahahahahahahahahahahahahahahahahah,,,,,,,,,x,,,,,,,,,,,,,,
3,478,piano!,,,,,,,,,,,x,,,,,,,,,,,,
3,479,bolacha ou biscoitos?,,,,,,,,,,x,,,,,,,,,,,x,,
3,480,cxxxxxzz,,x,,,,,,,,,,,,,,,,,,,,,
3,481,Aaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
3,482,Ao ronqui por essa oportunidade,,,,,,,x,,,,,,,,,,,,,,,,x
3,483,tststststszttststztzts,,x,,,,,,,,,,,,,,,,,,,,,
3,484,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
3,485,Trrrtrrrtrrrtrrrtrrr,,x,,,,,,,,,,,,,,,,,,,,,
3,486,A minha mãe,,,,,,,,,,x,,,,,,,,x,,,,,
3,487,qqqqqqqqqq,,x,,,,,,,,,,,,,,,,,,,,,
3,488,som!,,,,,,,,,,,x,,,,,,,,,,,,
3,489,o paulo.ronqui.ronca?,,,,,,,x,,,,,,,,,,,,,,x,,
3,490,O RIO DE JANEIRO CONTINUA LINDO,,,,,,,,,,x,,,,x,,,,,,,,,
3,491,llllllllllllllll,,x,,,,,,,,,,,,,,,,,,,,,
3,492,pinao!,,,,,,,,,,,x,,,,,,,,,,,,
3,493,piano!,,,,,,,,,,,x,,,,,,,,,,,,
3,494,Minha tia,,,,,,,,,,x,,,,,,,,x,,,,,
3,495,ppppppppppooooooo,,x,,,,,,,,,,,,,,,,,,,,,
3,496,64643737366)6)6($)_+=:?!?@??>]>]^^[^6656>]^^{~^[,x,,,,,,,,,,,,,,,,,,,,,,
3,497,Yuyiyuyiyuyiyuyi,,x,,,,,,,,,,,,,,,,,,,,,
3,498,som!,,,,,,,,,,,x,,,,,,,,,,,,
3,499,tem o arranjo pra piano?,,,,,,x,,,,,,,,,x,,,,,,,x,
3,500,piano!,,,,,,,,,,,x,,,,,,,,,,,,
3,501,>¦^|}}{{|>^|}>¦{,x,,,,,,,,,,,,,,,,,,,,,,
3,502,hashimoto hashivader,,,,,,,,,x,,,,,,,,,,,,,,
3,503,som!,,,,,,,,,,,x,,,,,,,,,,,,
3,504,Olha a onda olha onda tata,,,,,,,,,,x,,,,,,,,,,,,x,
3,505,hahahahahahahahahahahahah,,,,,,,,,x,,,,,,,,,,,,,,
3,506,Quieto!,,,,,,,,,,,x,,,,,,,,,,,,
3,507,Nem o Mannis manja disso,,,,,,,x,,,,,,,,,,,,,,x,,
3,508,Som!,,,,,,,,,,,x,,,,,,,,,,,,
3,509,Polppolppolppolppolppolpolp,,,,x,,,,,,,,,,,,,,,,,,,
3,510,hahahahahahahahahahahaah,,,,,,,,,x,,,,,,,,,,,,,,
3,511,piano!,,,,,,,,,,,x,,,,,,,,,,,,
3,512,chupa manis,,,,,,,x,,,,,,,,,x,,,,,,,
3,513,turuturuturuturu,,,,x,,,,,,,,,,,,,,,,,,,
3,514,som!,,,,,,,,,,,x,,,,,,,,,,,,
3,515,hahahahahaahahahahah,,,,,,,,,x,,,,,,,,,,,,,,
3,516,Ta tranquilo ta favorável,,,,,,,,,,x,,,,,,,,,,,,x,
3,517,boing!,,,,x,,,,,,,,,,,,,,,,,,,
3,518,sai lenita,,,,,,,,,,x,,,,,,,,,x,,,,
3,519,eu quero tchu eu quero tcha,,,,,,,,,,x,,,,,,,,,,,,x,
3,520,três pratos de trigo pra três tigres tristes,,,,,,,,,,x,,,x,,,,,,,,,,
3,521,haishaiahauahalanxncjfjdj,,,,,,,,,x,,,,,,,,,,,,,,
3,522,wttfdghjutghhyf,x,,,,,,,,,,,,,,,,,,,,,,
3,523,BVVBBVVBBVVBBVVBBVVBBVVBBVVBBVVB,,x,,,,,,,,,,,,,,,,,,,,,
3,524,Fofão sobe o muro,,,,,,,x,,,,,,,,,,,,,,x,,
3,525,###########,,x,,,,,,,,,,,,,,,,,,,,,
3,526,$$$$$$$$$$,,x,,,,,,,,,,,,,,,,,,,,,
3,527,Fica lenta #zuera,,,,,,,,,,x,,,,,,,,,,,x,,
3,528,Tchanana tchananaaa,,,,x,,,,,,,,,,,,,,,,,,,
3,529,%%%%%%%%,,x,,,,,,,,,,,,,,,,,,,,,
3,530,vvvvvvvvvvvvvvvvv,,x,,,,,,,,,,,,,,,,,,,,,
3,531,JJDAJJDAJJDAJJDAJDAJJDA,,x,,,,,,,,,,,,,,,,,,,,,
3,532,Também vou sair da lista da anppom,,,,,,,,x,,,,,,,,,,,,,,,
3,533,Heavy Metal!!,,,,,x,,,,,,,,,,,,,,,,,,
3,534,Tuts tuts tuts,,,,x,,,,,,,,,,,,,,,,,,,
3,535,supernatural,,,,,,,,,,x,,,,,,,,,,,,,x
3,536,funk,,,,,,,,,,x,,,,,,,,,,,,x,
3,537,Vamos tocar bach,,,,,,,,,,x,,,,,,,,,,,,x,
3,538,Revolution 9,,,,,,x,,,,,,,,,,,,,,,,x,
3,539,jjjjjjjjjjjjjjjjjjjjj,,x,,,,,,,,,,,,,,,,,,,,,
0,540,Hi,,,,,x,,,,,,,,,,,,,,,,,,
0,541,JSASJSASJSASJSASJSAS,,x,,,,,,,,,,,,,,,,,,,,,
0,542,QUERO MAISNLANCHINHO,,,,,,,,,,x,,,,,,,x,,,,,,
0,543,Hello,,,,,x,,,,,,,,,,,,,,,,,,
0,544,--'--'--'--'--'--',,x,,,,,,,,,,,,,,,,,,,,,
0,545,É ruim hein,,,,,,x,,,,,,,,,,,,,x,,,,
0,546,OLHA O HARRY POTTER,,,,,,,,,,x,,,,,,,x,,,,,,
0,547,FORA SUCO DE ACEROLA DO BANDEJAO,,,,,,,,x,,,,,,,,,,,,,,,
0,548,Falsete da melodyyuyu,,,,,,,,,,x,,,,,,,,,,,,x,
0,549,piano!,,,,,,,,,,,x,,,,,,,,,,,,
0,550,LINGUA DAS COBRA,,,,,,,,,,x,,,,,,,,,,,x,,
0,551,"**&**&**&**&**&**&**&*\\\""",,x,,,,,,,,,,,,,,,,,,,,,
0,552,POR MAIS STROGONOFF,,,,,,,,,,x,,,,,,,,,,,x,,
0,553,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
0,554,"//,.//,.//,.//,.",,x,,,,,,,,,,,,,,,,,,,,,
0,555,PUNK,,,,,,,,,,x,,,,,,,,,,,,x,
0,556,Mmmmmmmmasssa,,,,,,x,,,,,,,,,,,,,,,,,x
0,557,Feijoada já,,,,,,,,,,x,,,,,,,x,,,,,,
0,558,& & f f f f.  f.   f. f,x,,,,,,,,,,,,,,,,,,,,,,
0,559,haiahaiahaiahaiahaiahaiahaiahaiahaiahai,,,,,,,,,x,,,,,,,,,,,,,,
0,560,PUNK PUNK PUNK,,,,,,,,,,x,,,,,,,,,,,,x,
0,561,Viiiiixxxxxx,,,,,,,,,,x,,,,,,,,,,,,,x
0,562,COTAS JA,,,,,,,,x,,,,,,,,,,,,,,,
0,563,acabei de baixar a discografia aqui,,,,,,,,,,x,,,,,,,,x,,,,,
0,564,$\#@@,x,,,,,,,,,,,,,,,,,,,,,,
0,565,xixixixixixixixixixixixixixixixixixixixixixixixixixixixixixixi,,x,,,,,,,,,,,,,,,,,,,,,
0,566,TADEU POE COTAS,,,,,,,x,,,,,,,,,,,,x,,,,
0,567,Chica da pizza!,,,,,,,x,,,,,,,,,,,,,,x,,
0,568,xixixixxixixixixixixixixixixi,,x,,,,,,,,,,,,,,,,,,,,,
0,569,"Sorria, só ria",,,,,,,,,,x,,,,,,,,,,,x,,
0,570,xixixixixixixixixiixixixixiix,,x,,,,,,,,,,,,,,,,,,,,,
0,571,Iaiaiaiaiaiaiaiaiaiaiaiaaaaaaaa,,,,x,,,,,,,,,,,,,,,,,,,
0,572,TADEU TIRA AS GR,,,,,,,x,,,,,,,,,,,,x,,,,
0,573,xixixixixiixixixixixixiix,,x,,,,,,,,,,,,,,,,,,,,,
0,574,xixixixixixixix,,x,,,,,,,,,,,,,,,,,,,,,
0,575,tstststststztztztzzttssttstsststststststststztztzt,,x,,,,,,,,,,,,,,,,,,,,,
0,576,Lançamento do Cd dessa trilha semana que vem,,,,,,x,,,,,,,,,,,,,,,x,,
0,577,som!,,,,,,,,,,,x,,,,,,,,,,,,
0,578,xixixixixicic,,x,,,,,,,,,,,,,,,,,,,,,
0,579,Cadê os 40 milhões?,,,,,,,,x,,,,,,,x,,,,,,,,
0,580,COTAS SIM CORTES NAO,,,,,,,,x,,,,,,,,,,,,,,,
0,581,qwwwwwwww,,x,,,,,,,,,,,,,,,,,,,,,
0,582,Paixão mãe teto,,,,,,,,,,x,,,x,,,,,,,,,,
0,583,ssssssssssssssssssssssssssss,,x,,,,,,,,,,,,,,,,,,,,,
0,584,qwwwwwwww,,x,,,,,,,,,,,,,,,,,,,,,
0,585,Abrapem sua linda! :*,,,,,,,x,,,,,,,,,,,,,,,,x
0,586,AÇAI E BOM!,,,,,,,,,,x,,,,x,,,,,,,,,
0,587,NAO A PM NO CAMPUS,,,,,,,,x,,,,,,,,,,,,,,,
0,588,.,,,x,,,,,,,,,,,,,,,,,,,,
0,589,.,,,x,,,,,,,,,,,,,,,,,,,,
0,590,.,,,x,,,,,,,,,,,,,,,,,,,,
0,591,.,,,x,,,,,,,,,,,,,,,,,,,,
0,592,.,,,x,,,,,,,,,,,,,,,,,,,,
0,593,.,,,x,,,,,,,,,,,,,,,,,,,,
0,594,.,,,x,,,,,,,,,,,,,,,,,,,,
0,595,.,,,x,,,,,,,,,,,,,,,,,,,,
0,596,.,,,x,,,,,,,,,,,,,,,,,,,,
0,597,.,,,x,,,,,,,,,,,,,,,,,,,,
0,598,.,,,x,,,,,,,,,,,,,,,,,,,,
0,599,.,,,x,,,,,,,,,,,,,,,,,,,,
0,600,.,,,x,,,,,,,,,,,,,,,,,,,,
0,601,.,,,x,,,,,,,,,,,,,,,,,,,,
0,602,.,,,x,,,,,,,,,,,,,,,,,,,,
0,603,ei qualire,,,,,x,,,,,,,,,,,,,,,,,,
0,604,ffffffffffffffffffffffcccffffcccccccccc,,x,,,,,,,,,,,,,,,,,,,,,
0,605,😃,,,,,,,,,,,,x,,,,,,,,,,,
0,606,0,,,x,,,,,,,,,,,,,,,,,,,,
0,607,Tttttttttttttttt,,x,,,,,,,,,,,,,,,,,,,,,
0,608,mano,,,,,x,,,,,,,,,,,,,,,,,,
0,609,99999999,,x,,,,,,,,,,,,,,,,,,,,,
0,610,corta!,,,,,,,,,,,x,,,,,,,,,,,,
0,611,Iluminatti,,,,,,,,,,x,,,,x,,,,,,,,,
0,612,"Sou de câncer, to triste",,,,,,,,,,x,,,,,,,,x,,,,,
0,613,88888,,x,,,,,,,,,,,,,,,,,,,,,
0,614,corta!,,,,,,,,,,,x,,,,,,,,,,,,
0,615,1111222,,x,,,,,,,,,,,,,,,,,,,,,
0,616,a percussão eh foda,,,,,,x,,,,,,,,,,,,,,,,x,x
0,617,PAO DE QUEIJO FRIO E BOM,,,,,,,,,,x,,,,,,,,,,,,,x
0,618,quieto!,,,,,,,,,,,x,,,,,,,,,,,,
0,619,Quero mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,620,naaaaao,,,,,,,,,,x,,,,,,,,,x,,,,
0,621,quero mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,622,querobmais,,,,,,x,,,,,,,,,,,,,,,,,x
0,623,quero mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,624,quero mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,625,mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,626,CANCELA O RESTO,,,,,,x,,,,,,,,,,,,,,,,,x
0,627,piano!,,,,,,,,,,,x,,,,,,,,,,,,
0,628,MAIS UM MAIS UM,,,,,,x,,,,,,,,,,,,,,,,,x
0,629,adoro,,,,,,x,,,,,,,,,,,,,,,,,x
0,630,perfeito,,,,,,x,,,,,,,,,,,,,,,,,x
0,631,xxxxxxxxxxxxxxxxxxxxxxxxxx,,x,,,,,,,,,,,,,,,,,,,,,
0,632,xiixiixiixiixjjxjjxjxjxixjx,,,,x,,,,,,,,,,,,,,,,,,,
0,633,lalalalalalaalalalalalalalalaaaa,,,,x,,,,,,,,,,,,,,,,,,,
0,634,ppppppppppppppppp,,x,,,,,,,,,,,,,,,,,,,,,
0,635,bbbbbbbbbbbbbbbbbbbbb,,x,,,,,,,,,,,,,,,,,,,,,
0,636,Até esqueci a fome,,,,,,x,,,,,,,,,,,,,,,,,x
0,637,vou elogiar muito no twitter,,,,,,x,,,,,,,,,,,,,,,,,x
0,638,Pula a fogueira iaia,,,,,,,,,,x,,,,x,,,,,,,,,
0,639,uiuiuiuiuuuiuuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
0,640,qierooooo,,,,,,,,,,x,,,,,,,x,,,,,,
0,641,Ariane me Bjaoo,,,,,,,x,,,,,,,,,,,,,,,,x
0,642,Sua linda,,,,,,,x,,,,,,,,,,,,,,,,x
0,643,"PARABENS PRA VOCÊS, SERIO. ADOREI O CONCEITO E É MUITO DAHORA. OBRIGADO POR ESSE MARAVILHOSO PROJETO EM AUDIO E MIDIA DIGITAL.",,,,,,x,,,,,,,,,,,,,,,,,x
0,644,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
0,645,/samples0',,,,,,,,,,,x,,,,,,,,,,,,
0,646,❤️ VOCÊS SÃO FODA DEMAIS,,,,,,x,,,,,,,,,,,,,,,,,x
0,647,MINHA MAE ME AMA,,,,,,,,,,x,,,,,,,,x,,,,,
3,648,A MINHA DIZ QUE SOU ESPECIAL,,,,,,,,,,x,,,,,,,,x,,,,,
3,649,banda.codigo.xyz/,,,,,,x,,,,,,,,,,,,x,,,,,
3,650,MAS NAO É,,,,,,,,,,x,,,,,,,,,,,x,,
3,651,www.banda.codigo.xyz,,,,,,x,,,,,,,,,,,,x,,,,,
3,652,www.banda.codigo.xyz,,,,,,x,,,,,,,,,,,,x,,,,,
3,653,ahaahahaahahaahahaahahaahahsssssss,,,,,,,,,x,,,,,,,,,,,,,,
3,654,ALÔ MARQUIN DJ BOTA O SAMPLEY DE GUITARRA,,,,,,x,,,,,,,,,,,,,,,x,x,
3,655,(**),x,,,,,,,,,,,,,,,,,,,,,,
3,656,piano!,,,,,,,,,,,x,,,,,,,,,,,,
3,657,E,,,x,,,,,,,,,,,,,,,,,,,,
3,658,trompete!,,,,,,x,,,,,,,,,,,,,,,,x,
3,659,Bum,,,,x,,,,,,,,,,,,,,,,,,,
3,660,voltaquerida,,,,,,,,x,,,,,,,,,,,,,,,
3,661,Ba dum tiisss,,,,x,,,,,,,,,,,,,,,,,,,
3,662,Nao!,,,,,,,,,,x,,,,,,,x,,,,,,
3,663,cravo!,,,,,,,,,,x,,,,,,,,,,,,x,
3,664,O,,,x,,,,,,,,,,,,,,,,,,,,
3,665,O,,,x,,,,,,,,,,,,,,,,,,,,
3,666,Cravo naaaao,,,,,,,,,,x,,,,,,,,,x,,,,
3,667,Agora minha vida faz sentido,,,,,,,,,,x,,,,,,,,,,,,,x
3,668,Sem o cravo,,,,,,,,,,x,,,,,,,,,,,,x,
3,669,Fora cravo,,,,,,,,x,,,,,,,,,,,,,,,
3,670,contrafagote!,,,,,,,,,,x,,,,,,,,,,,,x,
3,671,vivaosativistasdaunicamp,,,,,,,,x,,,,,,,,,,,,,,,
3,672,Cravo é muito chatooo,,,,,,,,,,x,,,,,,,,,,,,x,
3,673,#VaiPiano,,,,,,x,,,,,,,,,,,,,,,,x,x
3,674,Contrafagote :D,,,,,,,,,,x,,,,,,,,,,,,x,
3,675,loremipsum,x,,,,,,,,,,,,,,,,,,,,,,
3,676,babes,,,,,,,,,,x,,,,x,,,,,,,,,
3,677,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
3,678,Badabes,x,,,,,,,,,,,,,,,,,,,,,,
3,679,Fora dilma,,,,,,,,x,,,,,,,,,,,,,,,
3,680,som!,,,,,,,,,,,x,,,,,,,,,,,,
3,681,No teebou,,,,,,,,,,x,,,x,,,,,,,,,,
3,682,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
3,683,FORA GOLPISTAS,,,,,,,,x,,,,,,,,,,,,,,,
3,684,FORA TEMER,,,,,,,,x,,,,,,,,,,,,,,,
3,685,Buks on de tebol,,,,,,,,,,x,,,,,,,,,,,x,,
3,686,Larga o osso dilma,,,,,,,,x,,,,,,,,,,,,,,,
3,687,SEM VIOLÊNCIAAAA,,,,,,,,x,,,,,,,,,,,,,,,
3,688,Book is on the table,,,,,,,,,,x,,,,x,,,,,,,,,
3,689,paredeveragloboquepassa,,,,,,,,x,,,,,,,,,,,,,,,
3,690,On de tebol,,,,,,,,,,x,,,,,,,,,,,,,
3,691,trompete nao,,,,,,,,,,x,,,,,,,,,x,,,x,
3,692,ISSO A GLOBO NÃO MOSTRA,,,,,,,,,,x,,,,,,,,,,,,,x
3,693,Ronaldo,,,,,,,x,,,,,,,,,,,x,,,,,
3,694,OCUPA TUDO,,,,,,,,x,,,,,,,,,,,,,,,
3,695,Trompete siiiim,,,,,,,,,,x,,,,,,,,,,,,x,x
3,696,OCUPA REITORIA,,,,,,,,x,,,,,,,,,,,,,,,
3,697,Brilha muito no corinthiana,,,,,,,,,,x,,,,,,,,,,,,,x
3,698,OCUPA MINC,,,,,,,,x,,,,,,,,,,,,,,,
3,699,Tudo nosso,,,,,,,,,,x,,,,,,,,,,,,,x
3,700,cancele sua assinaturadafolha que o cérebro volta a funcionar,,,,,,,,,,x,,,,x,,,,,,,,,
3,701,OCUPA DAC,,,,,,,,x,,,,,,,,,,,,,,,
3,702,Brilha bilha estrelinha,,,,,,,,,,x,,,,,,,,,,,x,,
3,703,OCUPA COMVEST,,,,,,,,x,,,,,,,,,,,,,,,
3,704,porco aranha,,,,,,,,,,x,,,,,,,,,,,x,,
3,705,COMOFAZ OCUPAR MINC?,,,,,,,,x,,,,,,,,,,,,,,,
3,706,Suzuki,,,,,,,x,,,,,,,,,,,x,,,,,
3,707,OCUPA TUDO!,,,,,,,,x,,,,,,,,,,,,,,,
3,708,!!!!,,x,,,,,,,,,,,,,,,,,,,,,
3,709,Amor galera,,,,,,,,,,x,,,,,,,,,,x,,,
3,710,!!!,,x,,,,,,,,,,,,,,,,,,,,,
3,711,<3,,,,,,,,,,,,x,,,,,,,,,,,
3,712,Iiiiooo,,,,x,,,,,,,,,,,,,,,,,,,
3,713,>,,,x,,,,,,,,,,,,,,,,,,,,
3,714,Paz e amor,,,,,,,,,,x,,,,,,,,,,x,,,
3,715,Tchetchetchere,,,,x,,,,,,,,,,,,,,,,,,,
3,716,@,,,x,,,,,,,,,,,,,,,,,,,,
3,717,Amo todos,,,,,,,,,,x,,,,,,,,,,x,,,
3,718,não veja a veja,,,,,,,,x,,,,,,,,,,,,,,,
3,719,/,,,x,,,,,,,,,,,,,,,,,,,,
3,720,@@@@@@@,,x,,,,,,,,,,,,,,,,,,,,,
3,721,Kkkk,,,,,,,,,x,,,,,,,,,,,,,,
3,722,\\\\\\\\\\\\\\\\,,x,,,,,,,,,,,,,,,,,,,,,
3,723,Iiioop,x,,,,,,,,,,,,,,,,,,,,,,
3,724,[][][][],,x,,,,,,,,,,,,,,,,,,,,,
3,725,Tchetchebare,,,,x,,,,,,,,,,,,,,,,,,,
3,726,Feriassd,,,,,,,,,,x,,,,x,,,,,,,,,
3,727,$$,,x,,,,,,,,,,,,,,,,,,,,,
3,728,ˆ,,,x,,,,,,,,,,,,,,,,,,,,
3,729,#ERROR!,,,,,,,,,,,x,,,,,,,,,,,,
3,730,Check,,,,,,,,,,x,,,x,,,,,,,,,,
3,731,mc brinqueco,,,,,,,x,,,,,,,,,,,,,,,x,
3,732,BIRL,x,,,,,,,,,,,,,,,,,,,,,,
3,733,&***&***&***,,x,,,,,,,,,,,,,,,,,,,,,
3,734,UNDERERÊ,,,,x,,,,,,,,,,,,,,,,,,,
3,735,(??)(??)(??)(??)(??),,x,,,,,,,,,,,,,,,,,,,,,
3,736,BIRL BIRL,,x,,,,,,,,,,,,,,,,,,,,,
3,737,. B-):3:3:-$B-):-$(-::-\\\\B-):3(^_-):'(O:-);-)(^_-)(-::3B-)O:-,x,,,,,,,,,,,,,,,,,,,,,,
3,738,golpistas não passarão eu passarinho,,,,,,,,x,,,,,,,,,,,,,,,
3,739,INÊS BRASIL,,,,,,,x,,,,,,,,,,,,,,,x,
3,740,TRAPEZIO DESCENDENTE,,,,,,x,,,,,,,,,,,,,,,,x,
3,741,Isso é melhor que spotted,,,,,,x,,,,,,,,,,,,,,,,,x
