,,,random,patterns,single characteres,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/command,emoticon,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
3,342,PARAIBA FEELINGS,,,,,,,,,,x,,,,,,,,,,,x,,
3,343,Hshahhahasom!,,,,,,,,,x,,,,,,,,,,,,,,
3,344,Malandramente,,,,,,,,,,x,,,,,,,,,,,,x,
3,345,Foi tudo feito em Chuck,,,,,,x,,,,,,,,,,,,,,,x,,
3,346,XxxxxxxXxXXXxX,,x,,,,,,,,,,,x,,,,,,,,,,
3,347,tem que me pagar pra ficar aqui,,,,,,x,,,,,,,,,,,,,x,,,,
3,348,Norris,,,,,,,,,,x,,,,,,,,,,,x,,
3,349,1717266171881992371,x,,,,,,,,,,,,x,,,,,,,,,,
3,350,,,,x,,,,,,,,,,,,,,,,,,,,
3,351,Uaiiqiqiq,x,,,,,,,,,,,,x,,,,,,,,,,
3,352,________________________________,,x,,,,,,,,,,,x,,,,,,,,,,
3,353,?????,,x,,,,,,,,,,,,,x,,,,,,,,
3,354,Mmmmm,,,,x,,,,,,,,,,,,,,,,,,x,
3,355,Assim vc me mata,,,,,,,,,,x,,,,,,,,,,,x,,
3,356,Macho q doideira,,,,,,x,,,,,,,,,,,,,,,,,x
3,357,Xxxxxxxxx xxxx xxx,,x,,,,,,,,,,,x,,,,,,,,,,
3,358,som de lícia,,,,,,x,,,,,,,,,,,,,,,,,x
3,359,33333321,,x,,,,,,,,,,,x,,,,,,,,,,
3,360,:{:|:;:},x,,,,,,,,,,,,x,,,,,,,,,,
3,361,Preferia o DJ cabeludo,,,,,,,x,,,,,,,,,,,,x,,,,
3,362,999209181983639,,,x,,,,,,,,,,x,,,,,,,,,,
3,363,Funk,,,,,,,,,,x,,,,,,,,,,,,x,
3,364,,x,,,,,,,,,,,,,,,,,,,,,,
3,365,Mina seus cabelo è da hora seu corpo è um violão meu docinho de voco,,,,,,,,,,x,,,,,,,,,,,x,,
3,366,simmm,,,,,,x,,,,,,,,,,,,,,,,,x
3,367,Eu tb,,,,,,,,,,x,,,,,,,,x,,,,,
3,368,Esquema,x,,,,,,,,,,,,,,,,,,,,,,x
3,369,Tira o boné,,,,,,,,,,x,,,,,,,x,,,,,,
3,370,hi sang!,,,,,,,x,,,,,,,,,,,,x,,,,
3,371,tiraaaaa,,,,,,,,,,x,,,,,,,x,,,,,,
3,372,Quero  ver outra veeeezz,,,,,,x,,,,,,,,,,,,,,,,,x
3,373,Ttttt,,x,,,,,,,,,,,x,,,,,,,,,,
3,374,festa do ime podia tocar isso,,,,,,x,,,,,,,,,,,,,,,,,x
3,375,Tira tira tira,,,,,,,,,,x,,,,,,,x,,,,,,
3,376,tiraaaa,,,,,,,,,,x,,,,,,,x,,,,,,
3,377,<marquee>AEEEEEE</marquee>,,,,,,,,,,,x,,,,,,,,,,,,x
3,378,Tatatatata,,,,x,,,,,,,,,,,,,,,,,,x,
3,379,122333,x,,,,,,,,,,,,x,,,,,,,,,,
3,380,<script/>,,,,,,,,,,,x,,x,,,,,,,,,,
3,381,<bold>gold</bold>,,,,,,,,,,,x,,x,,,,,,,,,,
3,382,Uhuhuhuhu!!!!,,,,x,,,,,,,,,,,,,,,,,,,x
3,383,doido,,,,,,x,,,,,,,,,,,,,,,,,x
3,384,<marquee> estático </marquee>,,,,,,,,,,,x,,,x,,,,,,,,,
3,385,eu quero:),,,,,,,,,,x,,,,,,,,x,,,,,
3,386,Que loucura,,,,,,x,,,,,,,,,,,,,,,,,x
3,387,Louca,,,,,,x,,,,,,,,,,,,,,,,,x
3,388,<markee>uhuuuu</markee>,,,,,,,,,,,x,,,,,,,,,,,,x
3,389,"<span style=\\\""color: red\\\"">Teste Teste</span>",,,,,,,,,,,x,,x,,,,,,,,,,
3,390,$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
3,391,👏👏👏,,,,,,,,,,,,x,,,,,,,,,,,x
3,392,Super fantástico amigo è bom estar contigo aqui neste balão,,,,,,,,,,x,,,,,,,,,,,x,,
3,393,Aí catai!,,,,,x,,,,,,,,,,,,,,,,,,x
3,394,♥,,,,,,,,,,,,x,,,,,,,,x,,,
3,395,Hsbahha,,,,,,,,,x,,,,,,,,,,,,,,
3,396,Youyou,,,,,,,,,,,,,,x,,,,,,,,,
3,397,Só lok,,,,,,,,,,x,,,,,,,,,,,,,x
3,398,hhaaaa,,,,,,,,,x,,,,,,,,,,,,,,
3,399,eu quero ser parceiro de ep de quem fez isso,,,,,,x,,,,,,,,,,,,,,,,,x
3,400,*Palavra andando*,,,,,,x,,,,,,,,,,,,,,,,,
3,401,"<script> puts \\\""hello world\\\"" </script>",,,,,,,,,,,x,,x,,,,,,,,,,
3,402,$&&&,,x,,,,,,,,,,,x,,,,,,,,,,
3,403,amigo,,,,,,,,,,x,,,,,,,,,,x,,,
3,404,<b>teste</b>,,,,,,,,,,,x,,x,,,,,,,,,,
3,405,"<script> puts \\\""hello world\\\"" </script>",,,,,,,,,,,x,,x,,,,,,,,,,
3,406,🎱🎱🎱🎱🎱🎱🎱🎱🏌,,,,,,,,,,,,x,x,,,,,,,,,,
3,407,()()()())))(-((-(-,,x,,,,,,,,,,,x,,,,,,,,,,
3,408,Eu tambem,,,,,,,,,,x,,,,,,,,x,,,,,
3,409,Cccvvcvaiiaiq,x,,,,,,,,,,,,x,,,,,,,,,,
3,410,------,,x,,,,,,,,,,,x,,,,,,,,,,
3,411,🗾🌶🌶🌶🌶🌶🌶🌶🌶🌶🌶🌶🌶🌶,,,,,,,,,,,,x,x,,,,,,,,,,
3,412,<b>uhuuu</b>,,,,,,,,,,,x,,,,,,,,,,,,x
3,413,/????,,x,,,,,,,,,,,,,x,,,,,,,,
3,414,Mmmmm,,,,x,,,,,,,,,,,,,,,,,,x,
3,415,my friend,,,,,,,,,,x,,,,,,,,,,x,,,
3,416,*palavra andando* teste 2,,,,,,x,,,,,,,,,,,,,,,,,
3,417,",..!/$$/&/",x,,,,,,,,,,,,x,,,,,,,,,,
1,418,$$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
1,419,Chuuuuuuupa que è de uvaa,,,,,,,,,,x,,,,,,,,,,,x,,
1,420,Jttttt,,x,,,,,,,,,,,x,,,,,,,,,,
1,421,<marquee> o     .      ....          ooo           ...         o </marquee>,,,,,,,,,,,x,,x,,,,,,,,,,
1,422,*palavra andando agora vai!*,,,,,,x,,,,,,,,,,,,,,,,,
1,423,"<div style=\\\""width: 500px; height: 500px; backgound: red;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
1,424,Oi,,,,,x,,,,,,,,,,,,,,,,,,
1,425,<marquee> o     .                ooo               ...         o </marquee>,,,,,,,,,,,x,,x,,,,,,,,,,
1,426,Bazinga ...de novo,,,,,,,,,,x,,,,,,,,,,,x,,
1,427,Hehehhehe,,,,,,,,,x,,,,,,,,,,,,,,
1,428,e agora,,,,,,,,,,x,,,,,x,,,,,,,,
1,429,Etyaywyyww,x,,,,,,,,,,,,x,,,,,,,,,,
1,430,"???,",,x,,,,,,,,,,,,,x,,,,,,,,
1,431,Lkkkjkw,,,,,,,,,x,,,,,,,,,,,,,,
1,432,"O Otimista  Você tende a sempre ver o lado positivo da vida, não importa qual seja o obstáculo no seu caminho! Você é um raio de luz constan",,,,,,,,,,x,,,,x,,,,,,,,,
1,433,depois disso os cara da guitarra ainda vão tocar de novo?,,,,,,x,,,,,,,,,x,,,,,,,,
1,434,"<div style=\\\""width: 500px; height: 500px; background: red;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
1,435,Já deu,,,,,,x,,,,,,,,,,,,,x,,,,
1,436,so vai ficar assin,,,,,,,,,,x,,,,,,,,,x,,,,
1,437,"<div style=\\\""width: 500px; height: 500px; backgound: blue;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
1,438,O8iii,x,,,,,,,,,,,,,,,,,,,,,,
1,439,Lacrou,,,,,,,,,,x,,,,,,,,,,,,,x
1,440,fora vc,,,,,,,,,,x,,,,,,x,,,,,,,
1,441,caraca,,,,,,x,,,,,,,,,,,,,,,,,x
1,442,para andar -> <marquee> TEXTO </marquee>,,,,,,,,,,,x,,x,,,,,,,,,,
1,443,"Fábio, Fábio",,,,,,,x,,,,,,,,,,,,,,,,x
1,444,Llllkaka,x,,,,,,,,,,,,x,,,,,,,,,,
1,445,Hahhaha,,,,,,,,,x,,,,,,,,,,,,,,
1,446,vamos cantar parabens,,,,,,,,,,x,,,,,,,x,,,,,,
1,447,"para andar -> <marquee> \\\""<marquee> TEXTO </marquee>\\\"" </marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,448,Pqp,,,,,x,,,,,,,,,,,,,,,,,,x
2,449,Arrasou,,,,,,x,,,,,,,,,,,,,,,,,x
2,450,"para andar -> <marquee> \\\""<marquee> PORTAL </marquee>\\\"" </marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,451,Vamos,,,,,x,,,,,,,,,,,,,,,,,,x
2,452,Ah le lek lek lek lek lek,,,,x,,,,,,,,,,,,,,,,,x,,x
2,453,"<div style=\\\""width: 100px; height: 100px; background: blue;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,454,space invaders tá parecendo,,,,,,x,,,,,,,,,,,,,,,,,x
2,455,"<div style=\\\""width: 100px; height: 100px; background: green;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,456,"<div style=\\\""width: 100px; height: 100px; background: pink;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,457,11 982926442,x,,,,,,,,,,,,x,,,,,,,,,,
2,458,*quadrado colorido* teste 1,,,,,,x,,,,,,,,,,,,,,,,,
2,459,"para andar -> <marquee> \\\""<marquee> \\\""<marquee> TEXTO </marquee>\\\"" </marquee>\\\"" </marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,460,;(,,,,,,,,,,,,x,,,,,,,x,,,,
2,461,;(,,,,,,,,,,,,x,,,,,,,x,,,,
2,462,11 982926442,,,,x,,,,,,,,,x,,,,,,,,,,
2,463,*quadrado colorido com texto andando agora vai!*,,,,,,x,,,,,,,,,,,,,,,,,
2,464,vou ligar ai,,,,,,,,,,x,,,,,,,,x,,,,,
2,465,"<div style=\\\""width: 100px; height: 100px; background: blue; border-radius: 50px;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,466,Liga pra mimm,,,,,,,,,,x,,,,,,,x,,,,,,
2,467,"agora é sério, eu num tava nem aí.nas esse lance do space invaders eu quero aprender. pvt me por favor",,,,,,,,,x,,,,,,,,,,,,,,
2,468,"<div style=\\\""width: 100px; height: 100px; background: green; border-radius: 50px;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,469,<marquee> <marquee> <marquee> <marquee> <marquee> ultra-portal </marquee> </marquee> </marquee> </marquee> </marquee>,,,,,,,,,,,x,,,,,,,,,,,,x
2,470,🏧🚮🚰♿🚹🚺🚻🚻🚼🚾🛃,,,,,,,,,,,,x,x,,,,,,,,,,
2,471,Zzzz😼,,,,x,,,,,,,,,,,,,,,x,,,,
2,472,huhu,,,,,,,,,x,,,,,,,,,,,,,,
2,473,"<marquee> <marquee> <marquee> <marquee> <marquee> \\\""ultra-portal\\\"" </marquee> </marquee> </marquee> </marquee> </marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,474,"<marquee><marquee><marquee> <a href=\\\""192.168.0.1\\\"" >nao clique aqui</a> </marquee></marquee></marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,475,"<div style=\\\""width: 200px; height: 200px; background: blue; border-radius: 50px;\\\""/>",,,,,,,,,,,x,,x,,,,,,,,,,
2,476,*emoticon do msn*,,,,,,,,,,x,,,,x,,,,,,,,,
2,477,paraaaaaaaaa,,,,,,,,,,x,,,,,,,x,,,,,,
2,478,"<marquee> \\\""<marquee> ultra-portal </marquee>\\\"" </marquee>",,,,,,,,,,,x,,x,,,,,,,,,,
2,479,👀.  👀       ...,,,,,,,,,,,,x,x,,,,,,,,,,
2,480,"e ai??,)",,,,,x,,,,,,,,,,x,,,,,,,,
2,481,Wta,x,,,,,,,,,,,,x,,,,,,,,,,
2,482,Jogos para iPhone Android nokia Blackberry Samsung nokia,,,,,,,,,,x,,,x,,,,,,,,,,
2,483,"Queria fazer o logo do Itaú, Feulo",,,,,,,,,,x,,,,,,,x,,,,,,
2,484,Eta carai,,,,,,x,,,,,,,,,,,,,,,,,x
2,485,<script>alert() </script>,,,,,,,,,,,x,,x,,,,,,,,,,
2,486,alguém conseguiria fazer um negócio andando pela tela no qual eu conseguiria clicar pela tela touch?,,,,,,x,,,,,,,,,x,,,,,,,,
2,487,👂 ....,,x,,,,,,,,,,,,,,,,,,,,x,
2,488,@,,,x,,,,,,,,,,x,,,,,,,,,,
2,489,PRESS OK PLEASE,,,,,,,,,,x,,,,,,,x,,,,,,
2,490,PRESS OK NOW,,,,,,,,,,x,,,,,,,x,,,,,,
2,491,È muita felação,,,,,,,,,,x,,,,,,x,,,,,,,
2,492,botão ol,,,,,x,,,,,,,,x,,,,,,,,,,
2,493,todos tem que apertar OK,,,,,,,,,,x,,,,,,x,,,,,,,
2,494,Os nerds pirando,,,,,,,,,,x,,,,,,,,,,,,,x
2,495,Ok,,,,,x,,,,,,,,,,,,,,,,,,x
2,496,vamos,,,,,,,,,,x,,,,,,,,,,,,,x
2,497,Cansei de brincar,,,,,,,,,,x,,,,,,,,,x,,,,
2,498,parabens pra vc,,,,,,,,,,x,,,,,,,,,,,,,x
2,499,Deixem de frescar,,,,,,,,,,x,,,,,,,x,,,,,,
2,500,Apertei caraio,,,,,,x,,,,,,,,,,,,,x,,,,
2,501,<marquee> <marquee> <marquee> <marquee> <marquee> _ . _ </marquee> </marquee> </marquee> </marquee> </marquee>,,,,,,,,,,,x,,x,,,,,,,,,,
2,502,eof pleaseeeee!!,,,,,,,,,,x,,,,,,,x,,,,,,
2,503,Quantos anos DJ?,,,,,,,x,,,,,,,,x,,,,,,,,
2,504,...e porra nenhuma,,,,,,,,,,x,,,,,,,,,x,,,,
2,505,Palhaçada😀😁😂,,,,,,,,,,x,,,,,,,,,,,x,,
3,506,"<div style=\\\""width: 100px; height: 100px; background: black; color: pink; border-radius: 50px;\\\"">Vendo rolex!</div>",,,,,,,,,,,x,,x,,,,,,,,,,
3,507,SONS DE MAR,,,,,,x,,,,,,,,,,,,,,,,x,
3,508,ondas,,,,,,,,,,x,,,,,,,,,,,,x,
3,509,Eu chutaria uns 60,,,,,,,,,,x,,,,,,,,x,,,,,
3,510,.já deu ! Boa noite !,,,,,,,,,,x,,,,,,,,,x,,,,
3,511,que pasó?,,,,,,x,,,,,,,,,x,,,,,,,,
3,512,Dj vc já casou? Ou está me esperando,,,,,,,,,x,,,,,,,,,,,,,,
3,513,Ime lacrou,,,,,,,,,,x,,,,,,,,,,,,,x
3,514,....,,x,,,,,,,,,,,x,,,,,,,,,,
3,515,Twitch installs archlinux,,,,,,,,,,x,,,,x,,,,,,,,,
3,516,]]]]]]]]]][[[]}}{}{},,x,,,,,,,,,,,x,,,,,,,,,,
3,517,????,,x,,,,,,,,,,,,,x,,,,,,,,
3,518,Kkkk,,,,,,,,,x,,,,,,,,,,,,,,
3,519,´´´´´´,,x,,,,,,,,,,,x,,,,,,,,,,
3,520,Isso aqui vai até acabar a bateria ????,,,,,,x,,,,,,,,,x,,,,,,,,
3,521,Llll,,x,,,,,,,,,,,x,,,,,,,,,,
3,522,Vc me ama ainda?,,,,,,,,,,x,,,,,x,,,,,,,,
3,523,~~~~~~,,x,,,,,,,,,,,x,,,,,,,,,,
3,524,Basta!,,,,,,,,,,,x,,,,,,,,,,,x,
3,525,~>>><<<<<,,x,,,,,,,,,,,x,,,,,,,,,,
3,526,antivirus,,,,,,,,,,x,,,,x,,,,,,,,,
3,527,TtTt,,x,,,,,,,,,,,x,,,,,,,,,,
3,528,*Vocal do Roberto Carlos* teste 11,,,,,,,,,,x,,,x,,,,,,,,,,
3,529,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,x,,,,,,,,,,,x,,,,,,,,,,
3,530,?????,,x,,,,,,,,,,,,,x,,,,,,,,
3,531,Chega!,,,,,,,,,,,x,,,,,,,,,,,x,
3,532,)))))))))))))))))))))))))))))))))),,x,,,,,,,,,,,x,,,,,,,,,,
3,533,&&&&&&&&,,x,,,,,,,,,,,x,,,,,,,,,,
3,534,:::::::::::,,x,,,,,,,,,,,x,,,,,,,,,,
3,535,:/,,,,,,,,,,,,x,,,,,,,x,,,,
3,536,$\#@$@#%\#$¨$%&,x,,,,,,,,,,,,x,,,,,,,,,,
3,537,Piano!,,,,,,,,,,,x,,,,,,,,,,,x,
3,538,!\#@$@$!@,x,,,,,,,,,,,,x,,,,,,,,,,
3,539,Galipeeeeeiraaaaaaaaaaaaaaaaaa,,,,,,,,,,x,,,,,,,,,,,x,x,
3,540,fomeeeeeeeee,,,,,,,,,,x,,,,,,,,,x,,,,
3,541,*vamo andá texto!!!*,,,,,,x,,,,,,,,,,,,,,,,,
3,542,LÇ¹³3¹²²¹²²,x,,,,,,,,,,,,x,,,,,,,,,,
3,543,Stop!,,,,,,,,,,,x,,,,,,,,,,,x,
3,544,aplay robertocarlos.ogg,,,,,,,,,x,,,,,,,,,,,,,,
3,545,||||||||||||||||||pipe|||||||||||||||||||||,,x,,,,,,,,,,,x,,,,,,,,,,
3,546,💀👽👽..,,,,,,,,,,,,x,x,,,,,,,,,,
3,547,!!!!!!!!!!!!!!!!!1,,x,,,,,,,,,,,x,,,,,,,,,,
3,548,/////////,,x,,,,,,,,,,,x,,,,,,,,,,
3,549,Continuação do solo de bateria interminável,,,,,,x,,,,,,,,,,,,,,,,x,
3,550,buzinas,,,,,,x,,,,,,,,,,,,,,,,x,
3,551,"<div style=\\\""width: 200px; height: 200px; background: blue; color: white; font-size: 30px;\\\"">FELIZ ANIVERSÁRIO DJ</div>",,,,,,,,,,,x,,x,,,,,,,,,,
3,552,Caboh as ideias,,,,,,x,,,,,,,,,,,,,x,,,,
3,553,_,,,x,,,,,,,,,,x,,,,,,,,,,
3,554,/\\\\/\\\\/\\\\/\\\\,,x,,,,,,,,,,,x,,,,,,,,,,
3,555,THE END!,,,,,,x,,,,,,,,,,,x,,,,,,
3,556,Fui num bairro em assuncion capital de el Paraguai,,,,,,,,,,x,,,x,,,,,,,,,,
3,557,:),,,,,,,,,,,,x,x,,,,,,,,,,
3,558,<volume>0</volume>,,,,,,,,,,,x,,,,,,,,,,,x,
3,559,Basta!,,,,,,,,,,,x,,,,,,,,,,,x,
3,560,Para o que?,,,,,,,,,,x,,,,,x,,,,,,x,,
3,561,valeu,,,,,,x,,,,,,,,,,,,,,,,,x
3,562,<volume>1</volume>,,,,,,,,,,,x,,,,,,,,,,,x,
3,563,Cadê o bolo?,,,,,,,,,,x,,,,,x,,,,,,,,
3,564,Paraguaio!,,,,,,,,,,x,,,,,,,,,,,x,,
3,565,Som!,,,,,,,,,,,x,,,,,,,,,,,x,
3,566,ROAR,,,,x,,,,,,,,,x,,,,,,,,,,
3,567,bolo de som,,,,,,x,,,,,,,,,,,,,,,,x,
3,568,será que isso é continuação dos cara das guitarra? eles que tão gerando o som?,,,,,,x,,,,,,,,,x,,,,,,,,
3,569,Chega!,,,,,,,,,,,x,,,,,,,,,,,x,
3,570,"Parou pq, pq parou?",,,,,,x,,,,,,,,,x,,,,,,,,x
3,571,Vai apagar as velhinhas?,,,,,,,,,,x,,,,,x,,,,,,,,
3,572,Basta!,,,,,,,,,,,x,,,,,,,,,,,x,
3,573,°°°,,x,,,,,,,,,,,x,,,,,,,,,,
3,574,Dj 20?????,,,,,,,x,,,,,,,,x,,,,,,,,
3,575,Hora do cofee break,,,,,,,x,,,,,,,,,,,,x,,,,
3,576,#ERROR!,,,,,,,,,,,,x,,,,,,,,,,,x
3,577,Basta!,,,,,,,,,,,x,,,,,,,,,,,x,
3,578,🎁 ....presente pra vc,,,,,,,,,,x,,,,,,,,,,,,,x
3,579,"Não seja mal educado, DJ. Vai buscar um bolo pra gente.",,,,,,,x,,,,,,,,,,x,,,,,,
3,580,#focas-mil,,,,,,,,,,x,,,,,,,,,,,x,,
3,581,Quieto!,,,,,,,,,,,x,,,,,,,,,,,x,
3,582,-------///---,,x,,,,,,,,,,,x,,,,,,,,,,
3,583,DJ VC È UM SARUÊ??😁😁😁😁,,,,,,,x,,,,,,,,x,,,,,,,,
3,584,bolo som,,,,,,,,,,x,,,,,,,,,,,,x,
3,585,ninguém tá lendo mais nada. tão só tentando escrever html!!!!,,,,,,x,,,,,,,,,,,,,x,,,,
3,586,no hay banda,,,,,,x,,,,,,,,,,,,,x,,,,
3,587,Cabô?,,,,,,x,,,,,,,,,x,,,,,,,,
3,588,"<div style=\\\""width: 200px; height: 200px; background: blue; color: white; font-size: 20px; padding: 20px;\\\"">Acabou?</div>",,,,,,,,,,,x,,,,x,,,,,,,,
3,589,#flatearth,,,,,,,,,,x,,,,,,,,,,,x,,
0,590,send('som!'),,,,,,,,,,,x,,,,,,,,,,,x,
0,591,send('basta!'),,,,,,,,,,,x,,,,,,,,,,,x,
0,592,ola,,,,,x,,,,,,,,,,,,,,,,,,
0,593,<b>asda</b>,,,,,,,,,,,x,,x,,,,,,,,,,
0,594,sudo 1234 <marquee>ola</marquee>,,,,,,,,,,,x,,,,,,,,,,,,
