,,messages,single characteres,random ,patterns,onomatopaic,phatic,metalinguistic,someone,political,comic,statements,emoticons,html/command,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
3,356,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,357,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,358,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,359,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,360,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,361,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,362,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,363,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,364,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,365,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,366,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,367,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,368,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,369,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,370,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,371,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,372,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,373,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,374,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,375,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,376,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,377,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,378,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,379,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,380,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,381,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,382,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,383,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,384,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,385,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,386,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,387,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,388,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,389,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,390,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,391,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,392,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,393,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,394,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,395,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,396,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,397,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,398,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,399,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,400,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,401,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,402,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,403,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,404,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,405,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,406,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,407,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,408,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,409,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,410,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,411,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,412,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,413,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,414,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,415,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,416,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,417,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,418,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,419,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,420,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,421,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,422,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,423,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,424,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,425,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,426,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,427,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,428,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,429,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,430,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,431,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,432,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,433,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,434,ah va,,,,,x,,,,,,,,,,,,,,x,,,,
3,435,@@@@@,,,x,,,,,,,,,,x,,,,,,,,,,
3,436,hehehehe,,,,x,,,,,x,,,,,,,,,,,,x,,x
3,437,heyheuheujeuehye,,,,,,,,,,,,,,,,,,,,,,,x
3,438,ajr fkcmtkcnsksng,,x,,,,,,,,,,,x,,,,,,,,,,
3,439,333,,x,,,,,,,,,,,x,,,,,,,,,,
3,440,Wilson na área,,,,,,,x,,,,,,,,,,,,,,,x,
3,441,.... ...   .... .. B,,,x,,,,,,,,,,x,,,,,,,,,,
3,442,@33.@33.@33.,,,x,,,,,,,,,,x,,,,,,,,,,
3,443,e aeee wilsonnmm,,,,,,,x,,,,,,,,,,,,,,,,x
3,444,dazsdfhjkkk,,x,,,,,,,,,,,x,,,,,,,,,,
3,445,kebebfosbwlg,,x,,,,,,,,,,,x,,,,,,,,,,
3,446,:::;;;:::(((:::,,,x,,,,,,,,,,x,,,,,,,,,,
3,447,Fala galeeeera,,,,,x,,,,,,,,,,,,,,,,,,
3,448,"&:!(@,'slanfbfoc",,x,,,,,,,,,,,x,,,,,,,,,,
3,449,zzzzzzzzzzzzxzzzxzzzsz,,,x,,,,,,,,,,x,,,,,,,,,,
3,450,"\\\""9",,x,,,,,,,,,,,x,,,,,,,,,,
3,451,Reverbera,,,,,,x,,,,,,,,,,,,,,,,,x
3,452,Q1234567890,,x,,,,,,,,,,,x,,,,,,,,,,
3,453,E repete,,,,,,x,,,,,,,,,,,,,,,,,x
3,454,jandlcmsnakfng,,x,,,,,,,,,,,x,,,,,,,,,,
3,455,dfghj,,x,,,,,,,,,,,x,,,,,,,,,,
3,456,Bixcoito,,,,,,,,,,x,,,,,,,,,,,x,,
3,457,Pa,,x,,,,,,,,,,,x,,,,,,,,,,
3,458,hey you you you,,,,,x,,,,,,,,,,,,,,,,,,
3,459,bnbnbnbnbnbnnn,,,x,,,,,,,,,,x,,,,,,,,,,
3,460,jdkenfldnandkf,,x,,,,,,,,,,,x,,,,,,,,,,
3,461,tttttutnt,,x,,,,,,,,,,,x,,,,,,,,,,
3,462,Livê pirante,,,,,,x,,,,,,,,,,,,,,,,,x
0,463,Hahaha,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,464,Aaasszzzzzzzz,,x,,,,,,,,,,,x,,,,,,,,,,
0,465,"Hola, somos ecosistema tropical",,,,,x,,,,,,,,,,,,,,,,,,x
0,466,tumt,,,,x,,,,,,,,,,,,,,,,,,x,
0,467,Gaga,,,,x,,,,,,,,,,,,,,,,,,x,
0,468,Mazzo!,,x,,,,,,,,,,,,,,,,,,,,x,
0,469,Gggggghgghhhhhhhhbbbbh,,x,,,,,,,,,,,x,,,,,,,,,,
0,470,Desisla,,,,,,,,,,x,,,,x,,,,,,,,,
0,471,Ooooooooooppppop,,,,x,,,,,,,,,x,,,,,,,,,,
0,472,Ooooooooooooo,,,,x,,,,,,,,,x,,,,,,,,,,
0,473,Mesmo!,,,,,,,,,,x,,,,x,,,,,,,,,
0,474,Ooooooooooo,,,,x,,,,,,,,,x,,,,,,,,,,
0,475,Oooooooooo,,,,x,,,,,,,,,x,,,,,,,,,,
0,476,ooopppppo,,x,,,,,,,,,,,x,,,,,,,,,,
0,477,Xccccccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
0,478,ah ohhhhj,,,,,x,,,,,,,,,,,,,,,,,,
0,479,Cccccc c,,,x,,,,,,,,,,x,,,,,,,,,,
0,480,Cccccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
0,481,Desisla en sampa!!!!,,,,,,,,,,x,,,,x,,,,,,,,,
0,482,Ccccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
0,483,kkkkaklkkakkka,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,484,Cccccccccc,,,,,,,,,,,,,x,,,,,,,,,,
0,485,C,x,,,,,,,,,,,,x,,,,,,,,,,
0,486,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,487,R,x,,,,,,,,,,,,x,,,,,,,,,,
0,488,Dddddd,,,x,,,,,,,,,,x,,,,,,,,,,
0,489,Mezzo!mmm,,,,,,x,,,,,,,,,,,,,,,,x,
0,490,Desisla,,,,,,,,,,x,,,,x,,,,,,,,,
0,491,Kkkkkkkllk,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,492,tropical zpneeeew,,,,,,,,,,x,,,,x,,,,,,,,,
0,493,Kkkkkkkkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,494,jjjjjjjjjjjjij,,,x,,,,,,,,,,x,,,,,,,,,,
0,495,Ayooo,,,,,x,,,,,,,,,,,,,,,,,,
0,496,Wwssssssssssssssss,,,x,,,,,,,,,,x,,,,,,,,,,
0,497,yahiuuiu,,,,x,,,,,,,,,,,,,,,,,,,x
0,498,Jjmjjmjjm,,,x,,,,,,,,,,x,,,,,,,,,,
0,499,Ecosistema tropicalista,,,,,,,,,,x,,,,,,,,,,,,,x
0,500,Wwwwwwwsssss,,,x,,,,,,,,,,x,,,,,,,,,,
0,501,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,502,K,x,,,,,,,,,,,,x,,,,,,,,,,
0,503,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,504,Gs,,x,,,,,,,,,,,x,,,,,,,,,,
1,505,G,x,,,,,,,,,,,,x,,,,,,,,,,
1,506,kkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,507,O,x,,,,,,,,,,,,x,,,,,,,,,,
1,508,I,x,,,,,,,,,,,,x,,,,,,,,,,
1,509,Gs,,x,,,,,,,,,,,x,,,,,,,,,,
1,510,llllll,,,x,,,,,,,,,,x,,,,,,,,,,
1,511,Ft,,x,,,,,,,,,,,x,,,,,,,,,,
1,512,F,x,,,,,,,,,,,,x,,,,,,,,,,
1,513,Mp,,x,,,,,,,,,,,x,,,,,,,,,,
1,514,Op,,x,,,,,,,,,,,x,,,,,,,,,,
1,515,Potencia mundial,,,,,,,,,,x,,,,,,,,,,,,,x
1,516,Llllllll,,,x,,,,,,,,,,x,,,,,,,,,,
1,517,Lllll,,,x,,,,,,,,,,x,,,,,,,,,,
1,518,Llll,,,x,,,,,,,,,,x,,,,,,,,,,
1,519,Llll,,,x,,,,,,,,,,x,,,,,,,,,,
1,520,kkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,521,Llll,,,x,,,,,,,,,,x,,,,,,,,,,
1,522,Llll,,,x,,,,,,,,,,x,,,,,,,,,,
1,523,Lllll,,,x,,,,,,,,,,x,,,,,,,,,,
1,524,😃😃😃😃😃😃,,,,,,,,,,,x,,,,,,,,,,,,x
1,525,Lllll,,,x,,,,,,,,,,x,,,,,,,,,,
1,526,Llll,,,x,,,,,,,,,,x,,,,,,,,,,
1,527,Lll,,,x,,,,,,,,,,x,,,,,,,,,,
1,528,Lll,,,x,,,,,,,,,,x,,,,,,,,,,
1,529,Lll,,,x,,,,,,,,,,x,,,,,,,,,,
1,530,😂😂😂😂,,,,,,,,,,,x,,,,,,,,,,,,x
1,531,Rrrrrrr,,,x,,,,,,,,,,x,,,,,,,,,,
1,532,😂😂😂😂😂,,,,,,,,,,,x,,,,,,,,,,,,x
1,533,Rrfrf,,x,,,,,,,,,,,x,,,,,,,,,,
1,534,Uip,,,,x,,,,,,,,,x,,,,,,,,,,
1,535,😂😂😂😂😂😂😂😂😂😂😂😂😂,,,,,,,,,,,x,,,,,,,,,,,,x
1,536,Vvvvbvv,,,x,,,,,,,,,,x,,,,,,,,,,
1,537,Vvvvvvvvv,,,x,,,,,,,,,,x,,,,,,,,,,
1,538,Xccccccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
1,539,Zzzzzxxxxzx,,,x,,,,,,,,,,x,,,,,,,,,,
1,540,wwwwwwwwwwwwwwww,,,x,,,,,,,,,,x,,,,,,,,,,
0,541,Wwwwsss,,,x,,,,,,,,,,x,,,,,,,,,,
0,542,😉😞😭😠😂😃😂😉😞😭😠,,,,,,,,,,,x,,,,,,,,x,,,,
0,543,Þghhn,,x,,,,,,,,,,,x,,,,,,,,,,
0,544,O,x,,,,,,,,,,,,x,,,,,,,,,,
0,545,I,x,,,,,,,,,,,,x,,,,,,,,,,
0,546,UUUU,,,,x,,,,,,,,,x,,,,,,,,,,
0,547,Y,x,,,,,,,,,,,,x,,,,,,,,,,
0,548,W,x,,,,,,,,,,,,x,,,,,,,,,,
0,549,W,x,,,,,,,,,,,,x,,,,,,,,,,
0,550,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,551,44444444,,,x,,,,,,,,,,x,,,,,,,,,,
0,552,Ccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
0,553,Pppppp,,,x,,,,,,,,,,x,,,,,,,,,,
0,554,44444444444444,,,x,,,,,,,,,,x,,,,,,,,,,
0,555,Pp,,x,,,,,,,,,,,x,,,,,,,,,,
0,556,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,557,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,558,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,559,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,560,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,561,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,562,768907654,,x,,,,,,,,,,,x,,,,,,,,,,
0,563,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,564,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,565,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,566,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,567,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,568,Lh,,x,,,,,,,,,,,x,,,,,,,,,,
0,569,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,570,bom viagem e eu não vou 7,,,,,,,,,,x,,,x,,,,,,,,,,
0,571,PaPaPa,,,,x,,,,,,,,,,,,,,,,,,x,
0,572,Pj,,x,,,,,,,,,,,x,,,,,,,,,,
0,573,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,574,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,575,&%$\#@-+&%$\#@,,x,,,,,,,,,,,x,,,,,,,,,,
0,576,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,577,Hp,,x,,,,,,,,,,,x,,,,,,,,,,
0,578,M,x,,,,,,,,,,,,x,,,,,,,,,,
0,579,K,x,,,,,,,,,,,,x,,,,,,,,,,
0,580,Oh,,,,x,x,,,,,,,,,,,,,,,,,,x
0,581,B,x,,,,,,,,,,,,x,,,,,,,,,,
0,582,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,583,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,584,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,585,????¿?????,,,x,,,,,,,,,,x,,,,,,,,,,
0,586,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,587,E,x,,,,,,,,,,,,x,,,,,,,,,,
0,588,V,x,,,,,,,,,,,,x,,,,,,,,,,
0,589,Sss,,,,,,,,,,,,,x,,,,,,,,,,
0,590,B,x,,,,,,,,,,,,x,,,,,,,,,,
0,591,J,x,,,,,,,,,,,,x,,,,,,,,,,
0,592,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,593,Hl,,,,,x,,,,,,,,,,,,,,,,,,
0,594,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,595,Hlb,,x,,,,,,,,,,,x,,,,,,,,,,
0,596,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,597,Bnh,,x,,,,,,,,,,,x,,,,,,,,,,
0,598,***************,,,x,,,,,,,,,,x,,,,,,,,,,
0,599,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,600,Bmb,,x,,,,,,,,,,,x,,,,,,,,,,
0,601,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,602,Bbn,,x,,,,,,,,,,,x,,,,,,,,,,
0,603,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,604,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,605,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,606,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,607,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,608,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,609,Hnb,,x,,,,,,,,,,,x,,,,,,,,,,
0,610,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,611,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,612,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,613,Hhh,,,x,,,,,,,,,,x,,,,,,,,,,
0,614,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,615,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,616,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,617,Hhh,,,x,,,,,,,,,,x,,,,,,,,,,
0,618,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,619,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,620,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,621,Hhh,,,x,,,,,,,,,,x,,,,,,,,,,
0,622,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,623,S,x,,,,,,,,,,,,x,,,,,,,,,,
0,624,A,x,,,,,,,,,,,,x,,,,,,,,,,
0,625,Uoll,,x,,,,,,,,,,,x,,,,,,,,,,
0,626,Eeew,,,,x,x,,,,,,,,,,,,,,,,,,x
0,627,33333333333333333,,,x,,,,,,,,,,x,,,,,,,,,,
0,628,@@@@@@@@@@@@@,,,x,,,,,,,,,,x,,,,,,,,,,
0,629,Xxccccccc,,,x,,,,,,,,,,x,,,,,,,,,,
0,630,777uu,,x,,,,,,,,,,,x,,,,,,,,,,
0,631,Pppppp,,,x,,,,,,,,,,x,,,,,,,,,,
0,632,7,x,,,,,,,,,,,,x,,,,,,,,,,
0,633,7,x,,,,,,,,,,,,x,,,,,,,,,,
0,634,7,x,,,,,,,,,,,,x,,,,,,,,,,
0,635,U,x,,,,,,,,,,,,x,,,,,,,,,,
0,636,7,x,,,,,,,,,,,,x,,,,,,,,,,
0,637,U,x,,,,,,,,,,,,x,,,,,,,,,,
0,638,;,x,,,,,,,,,,,,x,,,,,,,,,,
0,639,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,640,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,641,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,642,!,x,,,,,,,,,,,,x,,,,,,,,,,
0,643,Hggyuj,,x,,,,,,,,,,,x,,,,,,,,,,
0,644,Tyt,,x,,,,,,,,,,,x,,,,,,,,,,
0,645,Errr,,,,x,,,,,x,,,,,,,,,,,,x,,
0,646,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,647,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,648,Uooo,,,,x,,,,,,,,,x,,,,,,,,,,
0,649,L,x,,,,,,,,,,,,x,,,,,,,,,,
0,650,Pp,,x,,,,,,,,,,,x,,,,,,,,,,
0,651,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,652,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,653,,,,,,,,,,,,,,,,,,,,,,,,
0,654,D,x,,,,,,,,,,,,x,,,,,,,,,,
0,655,D,x,,,,,,,,,,,,x,,,,,,,,,,
0,656,N,x,,,,,,,,,,,,x,,,,,,,,,,
0,657,Yyyy,,,x,,,,,,,,,,x,,,,,,,,,,
0,658,33333333333,,,x,,,,,,,,,,x,,,,,,,,,,
0,659,J,x,,,,,,,,,,,,x,,,,,,,,,,
0,660,%%%%%%%%%%%%%%%,,,x,,,,,,,,,,x,,,,,,,,,,
0,661,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,662,Wtr,,x,,,,,,,,,,,x,,,,,,,,,,
0,663,Hjj,,x,,,,,,,,,,,x,,,,,,,,,,
0,664,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,665,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,666,Lp,,x,,,,,,,,,,,x,,,,,,,,,,
0,667,I,x,,,,,,,,,,,,x,,,,,,,,,,
0,668,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,669,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,670,D,x,,,,,,,,,,,,x,,,,,,,,,,
0,671,R,x,,,,,,,,,,,,x,,,,,,,,,,
0,672,F,x,,,,,,,,,,,,x,,,,,,,,,,
0,673,55555,,,x,,,,,,,,,,x,,,,,,,,,,
0,674,U,x,,,,,,,,,,,,x,,,,,,,,,,
0,675,😭😭😭😭😭😭😭😭😭,,,,,,,,,,,x,,,,,,,,x,,,,
0,676,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,677,Dh,,x,,,,,,,,,,,x,,,,,,,,,,
0,678,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,679,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,680,Q,x,,,,,,,,,,,,x,,,,,,,,,,
0,681,Q,x,,,,,,,,,,,,x,,,,,,,,,,
0,682,X,x,,,,,,,,,,,,x,,,,,,,,,,
0,683,X,x,,,,,,,,,,,,x,,,,,,,,,,
0,684,1,x,,,,,,,,,,,,x,,,,,,,,,,
0,685,,,,,,,,,,,,,,,,,,,,,,,,
0,686,Rrr4rrrr,,x,,,,,,,,,,,x,,,,,,,,,,
0,687,7,x,,,,,,,,,,,,x,,,,,,,,,,
0,688,Yyyy,,,x,,,,,,,,,,x,,,,,,,,,,
0,689,$,x,,,,,,,,,,,,x,,,,,,,,,,
0,690,J,x,,,,,,,,,,,,x,,,,,,,,,,
0,691,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,692,G,x,,,,,,,,,,,,x,,,,,,,,,,
0,693,p,x,,,,,,,,,,,,x,,,,,,,,,,
0,694,O,x,,,,,,,,,,,,x,,,,,,,,,,
0,695,J,x,,,,,,,,,,,,x,,,,,,,,,,
0,696,D,x,,,,,,,,,,,,x,,,,,,,,,,
0,697,m,x,,,,,,,,,,,,x,,,,,,,,,,
0,698,W,x,,,,,,,,,,,,x,,,,,,,,,,
0,699,##############,,,x,,,,,,,,,,x,,,,,,,,,,
0,700,Gp,,x,,,,,,,,,,,x,,,,,,,,,,
0,701,H,x,,,,,,,,,,,,x,,,,,,,,,,
0,702,Vcvv,,x,,,,,,,,,,,x,,,,,,,,,,
0,703,Vbjkk,,x,,,,,,,,,,,x,,,,,,,,,,
0,704,rrrrrrrrrr,,,x,,,,,,,,,,x,,,,,,,,,,
0,705,B,x,,,,,,,,,,,,x,,,,,,,,,,
0,706,Vcccv,,,x,,,,,,,,,,x,,,,,,,,,,
0,707,Kvjfjfjfifjfigigiggkgkg,,,,x,,,,,x,,,,,,,,,,x,,,,
0,708,#ERROR!,,,,,,,,,,,x,,,,,,,,,,,,x
0,709,Jfufufufufifi,,,x,,,,,,,,,,x,,,,,,,,,,
0,710,Pppp,,,x,,,,,,,,,,x,,,,,,,,,,
0,711,Eerukgzvnko,,x,,,,,,,,,,,x,,,,,,,,,,
0,712,Ngfshkb,,x,,,,,,,,,,,x,,,,,,,,,,
0,713,Desislaaaaa,,,,,,,,,,x,,,,x,,,,,,,,,
0,714,€€€€€€€€€££££££££,,,x,,,,,,,,,,x,,,,,,,,,,
0,715,Vjkhgjkvhkjvnkk,,x,,,,,,,,,,,x,,,,,,,,,,
0,716,Hgghkm,,x,,,,,,,,,,,x,,,,,,,,,,
0,717,Bbvhhj,,x,,,,,,,,,,,x,,,,,,,,,,
0,718,Desisla,,,,,,,,,,x,,,,x,,,,,,,,,
0,719,Vhjkkk,,x,,,,,,,,,,,x,,,,,,,,,,
0,720,Desisla,,,,,,,,,,x,,,,x,,,,,,,,,
3,721,Ppljhrexvngkkjfgnyrwgjolmcscnmhfh,,x,,,,,,,,,,,x,,,,,,,,,,
3,722,Desisla,,,,,,,,,,x,,,,x,,,,,,,,,
3,723,Jfudysgxvlb,,x,,,,,,,,,,,x,,,,,,,,,,
